Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_Brute_force_8_pix,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Risk,Prob_collision_robotino_object_detection_error
"[[63 66], [80 61], [103  60]]",63,66,103,60,3,40.7418,0.0,0.053,0.033,0.0553,0.1,0.15,0.15,30.9445,0.15
"[[178  94], [173 100], [170 106], [154 137], [138 153]]",178,94,138,153,5,72.0314,0.5882,0.6818,0.2994,0.1132,0.7,0.7,0.8,37.3634,1.0
"[[ 45 136], [ 43 119], [ 45 101], [50 81], [56 72], [60 51], [81  5], [98 13], [135  28], [138  45]]",45,136,138,45,10,214.5804,0.6216,0.9006,0.8099,0.7956,0.85,0.9,0.85,39.5658,1.0
"[[148  33], [112  25], [107  30]]",148,33,107,30,3,43.9492,0.3333,0.3904,0.0492,0.0145,0.4,0.35,0.45,34.3078,1.0
"[[100  83], [77 85], [ 73 101], [ 73 120]]",100,83,73,120,4,58.5792,0.5385,0.6147,0.2234,0.0611,0.8,0.8,0.8,36.6188,
"[[125  17], [148  33], [135  28], [98 13], [88  2]]",125,17,88,2,5,96.7372,0.8824,1.0082,0.5839,0.559,0.95,0.95,1.0,40.5159,
"[[ 27 114], [ 43 119], [ 51 123], [ 68 145], [ 90 162], [102 168], [126 168]]",27,114,126,168,7,118.7295,0.12,0.2743,0.0583,0.0913,0.3,0.25,0.25,33.3372,
"[[127 102], [125 101], [113  89], [100  83], [81 66]]",127,102,81,66,5,59.0195,0.2353,0.312,0.3343,0.0529,0.35,0.3,0.15,33.7216,
"[[65 63], [63 66], [50 81], [38 94], [ 27 114]]",65,63,27,114,5,63.9722,0.2941,0.3773,0.4682,0.386,0.5,0.55,0.6,34.3518,
"[[187  68], [174  93], [164  90], [138  84], [117  76], [103  71], [81 66]]",187,68,81,66,7,125.2009,0.4,0.5628,0.5169,0.2539,0.7,0.7,0.75,36.1944,
"[[127 102], [131 120], [144 127], [144 147], [137 162], [131 184]]",127,102,131,184,6,92.5604,0.7619,0.8822,0.6304,0.6104,1.0,0.95,1.0,39.4087,
"[[ 79 133], [ 69 135], [ 45 136], [ 37 133], [ 19 124]]",79,133,19,124,5,62.8875,0.1765,0.2583,0.2893,0.3863,0.3,0.35,1.0,33.1655,
"[[132 179], [122 173], [102 168], [ 77 161], [ 51 155], [ 46 152], [ 28 142]]",132,179,28,142,7,111.3445,0.08,0.2247,0.0803,0.1774,0.3,0.2,0.9,32.8748,
"[[112  25], [81  5], [60 51], [56 72], [50 81], [ 45 101]]",112,25,45,101,6,140.2683,0.9048,1.0871,0.9101,0.8852,1.0,1.0,1.0,41.24,
"[[91 82], [113  89], [119 108], [121 110]]",91,82,121,110,4,45.8401,0.0,0.0596,0.0957,0.067,0.0,0.2,0.0,31.1214,
"[[102 168], [113 159], [127 153], [154 137], [170 106], [173 100], [178  94], [175  69], [166  62], [148  33], [171  41], [174  41]]",102,168,174,41,12,208.2977,0.5556,0.8264,0.8476,0.1299,1.0,1.0,0.7,39.1205,
"[[119 117], [113  89], [107  68], [101  49]]",119,117,101,49,4,70.4008,0.3846,0.4761,0.2925,0.0556,0.6,0.6,0.65,35.1776,
"[[49 88], [50 98], [ 63 111], [ 69 135], [ 72 144], [ 88 166], [ 93 172]]",49,88,93,172,7,97.6733,0.48,0.607,0.1578,0.1412,0.5,0.6,0.5,36.7639,
"[[46 95], [50 81], [56 72], [60 51], [81  5], [88  2]]",46,95,88,2,6,104.937,0.6667,0.8031,0.7675,0.7476,0.8,0.75,0.8,38.5598,
"[[ 36 109], [ 42 103], [ 45 101], [50 98], [61 92], [74 87], [91 82], [117  89], [131  94], [159  91], [178  94], [175  69]]",36,109,175,69,12,176.4671,0.2222,0.4516,0.3782,0.2884,0.8,0.4,0.9,35.5157,
"[[154 151], [144 127], [131 120], [128 115], [123 101], [117  89], [111  80], [107  68], [101  49]]",154,151,101,49,9,118.2689,0.6364,0.7901,0.7309,0.5726,0.8,0.8,0.9,38.7707,
"[[99 23], [120  28], [143  42], [153  54]]",99,23,153,54,4,64.1334,0.4615,0.5449,0.0303,0.0429,0.5,0.6,0.6,35.8947,
"[[159 109], [161 103], [131  89], [129  93], [125 101], [119 108], [108 118], [ 89 129], [ 79 133], [ 59 143], [ 54 146], [ 31 152]]",159,109,31,152,12,161.6187,0.2667,0.4768,0.4189,0.1137,0.4,0.45,0.5,35.8364,
"[[ 89 128], [108 118], [116 110], [125 101], [130  95], [131  94], [159  91], [178  94], [175  69], [171  66], [165  54]]",89,128,165,54,11,145.7284,0.6341,0.8235,0.4369,0.1591,0.75,0.8,1.0,39.2465,
"[[110 169], [ 93 162], [ 72 144], [ 69 135], [ 63 111], [50 98], [44 71]]",110,169,44,71,7,126.3123,0.56,0.7242,0.3168,0.3001,0.7,0.7,0.7,37.8053,
"[[154 151], [154 137], [170 106], [173 100], [178  94], [175  69], [153  54]]",154,151,153,54,7,115.2104,1.0,1.1498,0.7579,0.2095,1.0,1.0,1.0,42.1165,
"[[ 38 119], [ 51 123], [ 68 145], [ 90 162], [ 98 169], [108 175], [122 186]]",38,119,122,186,7,109.3038,0.0,0.1421,0.0809,0.079,0.3,0.2,0.3,32.0568,
"[[123 101], [125  83], [120  62]]",123,101,120,62,3,39.6978,0.0,0.0516,0.1085,0.0655,0.1,0.15,0.2,30.9357,
"[[133  62], [139  73], [147  84], [163 110], [154 137]]",133,62,154,137,5,85.1206,0.5882,0.6989,0.6169,0.5486,1.0,0.7,1.0,37.4734,
"[[38 84], [43 91], [50 98], [ 63 111], [ 69 135], [ 72 144], [ 93 162], [102 168], [117 165], [138 165]]",38,84,138,165,10,145.8844,0.6757,0.8653,0.3535,0.1625,0.9,0.9,1.0,39.5301,
"[[128 115], [110 117], [ 92 114], [ 63 111], [38 99]]",128,115,38,99,5,93.2447,0.4118,0.533,0.2878,0.1739,0.6,0.5,0.6,35.7759,
"[[38 99], [46 95], [61 92], [74 87], [91 82], [117  89], [131  94], [159  91], [178  94], [175  69], [167  77]]",38,99,167,77,11,181.5704,0.6341,0.8701,0.4293,0.1231,0.9,0.85,0.9,39.5476,
"[[ 45 136], [ 51 123], [ 63 111], [74 87], [100  75], [120  62]]",45,136,120,62,6,110.1785,0.1905,0.3337,0.3217,0.0989,0.35,0.35,0.4,33.837,
"[[121 179], [118 177], [109 171], [102 168], [ 93 162], [ 72 144], [ 66 132], [ 61 126], [ 48 117], [ 42 103], [38 94]]",121,179,38,94,11,122.6317,0.3415,0.5009,0.2779,0.1829,0.55,0.6,0.6,36.1235,
